点坐标(x,y)	特征类型		角度（°）
81	34	端点		-149.03624346792648	
65	38	端点		-149.03624346792648	
83	39	端点		21.80140948635181	
112	39	端点		168.69006752597977	
104	42	端点		-11.309932474020215	
103	46	端点		158.19859051364818	
88	54	端点		-168.69006752597977	
105	60	端点		-11.309932474020215	
115	69	端点		158.19859051364818	
139	86	端点		-51.34019174590991	
107	92	端点		-30.96375653207352	
100	126	端点		-45.0	
116	127	端点		128.65980825409008	
95	130	端点		-101.3099324740202	
99	131	端点		-68.19859051364818	
88	133	三叉点	[68.19859051364818, -126.86989764584402, -78.69006752597979]	
144	134	三叉点	[90.0, 141.3401917459099, -59.03624346792648]	
94	137	三叉点	[78.69006752597979, -45.0, -101.3099324740202]	
50	139	端点		-101.3099324740202	
105	149	端点		-68.19859051364818	
60	156	端点		-90.0	
111	161	三叉点	[120.96375653207352, 78.69006752597979, -51.34019174590991]	
101	164	端点		111.80140948635182	
